,year,hood_id,neighborhood,district,type,frequency
184,2013,40413,Wiesbadener Straße,CharlottenburgWilmersdorf,robbery,66
185,2013,40514,Düsseldorfer Straße,CharlottenburgWilmersdorf,robbery,124
186,2013,40515,Barstraße,CharlottenburgWilmersdorf,robbery,169
187,2013,40516,Volkspark Wilmersdorf,CharlottenburgWilmersdorf,robbery,155
188,2013,40617,Forst Grunewald,CharlottenburgWilmersdorf,robbery,1408
189,2013,50101,Hakenfelde,Spandau,robbery,62
190,2013,50102,Falkenhagener Feld,Spandau,robbery,133
191,2013,50103,Spandau Mitte,Spandau,robbery,285
192,2013,50204,Brunsbütteler Damm,Spandau,robbery,69
193,2013,50205,Heerstraße Nord,Spandau,robbery,108
194,2013,50206,Wilhelmstadt,Spandau,robbery,125
195,2013,50307,Haselhorst,Spandau,robbery,139
196,2013,50308,Siemensstadt,Spandau,robbery,158
197,2013,50409,Gatow/Kladow,Spandau,robbery,22
198,2013,60101,Schloßstr.,SteglitzZehlendorf,robbery,310
199,2013,60102,Albrechtstr.,SteglitzZehlendorf,robbery,104
200,2013,60203,Lankwitz,SteglitzZehlendorf,robbery,81
201,2013,60204,Ostpreußendamm,SteglitzZehlendorf,robbery,54
202,2013,60305,Teltower Damm,SteglitzZehlendorf,robbery,107
203,2013,60306,Drakestr.,SteglitzZehlendorf,robbery,64
204,2013,60407,Zehlendorf Südwest,SteglitzZehlendorf,robbery,82
205,2013,60408,Zehlendorf Nord,SteglitzZehlendorf,robbery,65
206,2013,70101,SchönebergNord,TempelhofSchöneberg,robbery,513
207,2013,70202,SchönebergSüd,TempelhofSchöneberg,robbery,195
208,2013,70303,Friedenau,TempelhofSchöneberg,robbery,140
209,2013,70404,Tempelhof,TempelhofSchöneberg,robbery,147
210,2013,70505,Mariendorf,TempelhofSchöneberg,robbery,120
211,2013,70606,Marienfelde,TempelhofSchöneberg,robbery,75
212,2013,70707,Lichtenrade,TempelhofSchöneberg,robbery,62
213,2013,80101,Schillerpromenade,Neukölln,robbery,456
214,2013,80102,Neuköllner Mitte/Zentrum,Neukölln,robbery,358
215,2013,80103,Reuterstraße,Neukölln,robbery,239
216,2013,80104,Rixdorf,Neukölln,robbery,316
217,2013,80105,Köllnische Heide,Neukölln,robbery,300
218,2013,80206,Britz,Neukölln,robbery,183
219,2013,80207,Buckow,Neukölln,robbery,86
