year;hood_id;neighborhood;district;robbery;street_robbery;injury_assault;agg_assault;threat;theft;car_theft;theft_from_car;bike_theft;burglary;fire_without_intention;arson_with_intention;property_damage;property_damage_graffiti;drugs;criminal_hood
2013;030510;Weißensee Ost;Pankow;73;53;965;165;311;4137;145;971;403;172;185;145;872;119;211;2207
2013;030611;Prenzlauer Berg Nordwest;Pankow;210;128;858;256;243;7084;388;759;1678;276;49;25;1340;322;285;2816
2013;030612;Prenzlauer Berg Nord;Pankow;80;23;774;165;249;7337;337;828;1733;199;54;11;974;234;199;2281
2013;030613;Helmholtzplatz;Pankow;65;18;683;175;203;5908;263;420;1288;415;46;9;1098;300;92;2723
2013;030614;Prenzlauer Berg Ost;Pankow;173;85;980;238;290;8671;198;1278;1358;173;69;20;1733;673;274;2495
2013;030715;Prenzlauer Berg Südwest;Pankow;117;48;1310;347;226;8872;351;879;1407;476;64;36;1624;524;181;3656
2013;030716;Prenzlauer Berg Süd;Pankow;55;29;495;106;244;5244;421;822;1265;279;55;19;1050;225;151;2203
2013;040101;CharlottenburgNord;CharlottenburgWilmersdorf;287;87;1614;347;834;6060;384;2264;352;428;81;38;1246;108;845;3845
2013;040202;Heerstrasse;CharlottenburgWilmersdorf;151;63;1007;325;357;5708;270;1839;444;492;24;16;1134;373;174;2164
2013;040203;Westend;CharlottenburgWilmersdorf;116;38;721;173;435;8798;240;1745;724;413;38;26;848;128;86;2203
2013;040304;Schloß Charlottenburg;CharlottenburgWilmersdorf;196;90;875;196;393;5143;124;751;1093;393;51;30;794;120;269;2702
2013;040305;Mierendorffplatz;CharlottenburgWilmersdorf;274;151;1001;219;480;5801;144;1378;706;391;75;21;891;89;658;3195
2013;040306;OttoSuhrAllee;CharlottenburgWilmersdorf;233;93;1493;380;493;8765;105;1195;1377;609;54;19;1590;365;547;3743
2013;040307;Neue Kantstraße;CharlottenburgWilmersdorf;198;73;1066;237;466;5971;255;1260;1199;466;35;17;1251;315;582;3119
2013;040308;Kantstraße;CharlottenburgWilmersdorf;290;135;1424;381;473;13503;97;956;1293;574;39;14;1018;121;796;3354
2013;040309;Kurfürstendamm;CharlottenburgWilmersdorf;768;315;6300;1968;1255;29471;411;2530;1179;727;41;7;2345;514;1351;10400
2013;040310;Halensee;CharlottenburgWilmersdorf;159;55;936;173;492;7009;444;1248;1192;589;49;21;1158;263;208;3002
2013;040411;Grunewald;CharlottenburgWilmersdorf;71;33;527;154;373;5214;291;1811;450;900;33;16;675;77;71;2272
2013;040412;Schmargendorf;CharlottenburgWilmersdorf;79;36;518;101;237;5868;216;1524;496;798;29;0;791;122;58;1913
2013;040413;Wiesbadener Straße;CharlottenburgWilmersdorf;66;22;459;66;238;3631;133;1223;703;304;11;11;775;138;11;1622
2013;040514;Düsseldorfer Straße;CharlottenburgWilmersdorf;124;50;867;232;366;6622;279;1506;884;652;50;13;1109;299;175;2615
2013;040515;Barstraße;CharlottenburgWilmersdorf;169;103;855;214;420;6654;111;1466;1135;472;7;7;1054;155;147;2786
2013;040516;Volkspark Wilmersdorf;CharlottenburgWilmersdorf;155;40;692;189;290;5153;186;1183;1085;305;73;30;924;186;152;2034
2013;040617;Forst Grunewald;CharlottenburgWilmersdorf;1408;1408;21127;7042;7042;95775;2817;46479;5634;0;2817;1408;29577;0;2817;38028
2013;050101;Hakenfelde;Spandau;62;35;757;185;335;4426;110;823;247;229;88;26;978;92;176;3100
2013;050102;Falkenhagener Feld;Spandau;133;54;1135;217;382;2983;89;459;372;227;102;13;895;33;117;2894
2013;050103;Spandau Mitte;Spandau;285;136;2249;537;721;7331;122;863;792;214;92;24;1786;332;662;4836
2013;050204;Brunsbütteler Damm;Spandau;69;30;722;190;255;3941;138;588;268;251;43;9;991;242;91;1804
2013;050205;Heerstraße Nord;Spandau;108;56;1408;381;594;4197;190;624;265;265;71;11;1314;161;127;3850
2013;050206;Wilhelmstadt;Spandau;125;61;1391;323;632;7188;131;693;547;268;61;23;1397;113;349;3632
2013;050307;Haselhorst;Spandau;139;55;1081;277;443;7614;208;1247;409;367;76;21;1649;152;173;3818
2013;050308;Siemensstadt;Spandau;158;92;1318;284;559;6464;242;1276;692;250;67;33;1293;234;100;3553
2013;050409;Gatow/Kladow;Spandau;22;6;386;88;176;2513;61;590;138;441;61;28;777;154;22;898
2013;060101;Schloßstr.;SteglitzZehlendorf;310;148;948;139;328;13320;134;893;814;495;56;23;1087;347;185;2711
2013;060102;Albrechtstr.;SteglitzZehlendorf;104;42;508;100;280;3124;216;807;448;313;33;12;641;120;114;1698
2013;060203;Lankwitz;SteglitzZehlendorf;81;34;744;144;330;3148;146;759;292;328;57;14;871;168;211;1877
2013;060204;Ostpreußendamm;SteglitzZehlendorf;54;31;663;149;277;3677;174;984;538;254;34;17;672;97;157;1570
2013;060305;Teltower Damm;SteglitzZehlendorf;107;43;467;92;281;4281;174;1141;866;452;52;12;775;119;156;1449
2013;060306;Drakestr.;SteglitzZehlendorf;64;15;426;71;232;4162;183;1069;477;357;37;17;621;71;105;1365
2013;060407;Zehlendorf Südwest;SteglitzZehlendorf;82;43;630;110;301;5046;192;1726;583;607;35;8;842;86;129;1652
2013;060408;Zehlendorf Nord;SteglitzZehlendorf;65;26;528;106;284;5317;212;1648;544;703;41;5;973;335;111;1470
2013;070101;SchönebergNord;TempelhofSchöneberg;513;260;1674;505;518;9477;181;1082;952;496;115;40;1451;288;654;4209
2013;070202;SchönebergSüd;TempelhofSchöneberg;195;103;1149;312;371;6082;117;789;1315;340;48;19;1086;237;457;2949
2013;070303;Friedenau;TempelhofSchöneberg;140;43;583;97;259;6552;178;969;955;200;63;16;905;239;169;1692
2013;070404;Tempelhof;TempelhofSchöneberg;147;58;1098;258;498;5964;182;1317;580;242;80;22;1171;205;500;2743
2013;070505;Mariendorf;TempelhofSchöneberg;120;70;834;180;356;3772;182;1026;280;290;54;10;986;118;204;2286
2013;070606;Marienfelde;TempelhofSchöneberg;75;39;796;183;357;4289;115;779;255;223;72;10;737;75;164;2059
2013;070707;Lichtenrade;TempelhofSchöneberg;62;28;682;129;272;2477;103;785;197;360;58;20;680;93;129;1517
2013;080101;Schillerpromenade;Neukölln;456;266;2151;691;659;6947;127;900;637;444;101;41;1777;377;2943;5164
2013;080102;Neuköllner Mitte/Zentrum;Neukölln;358;183;2234;628;657;11573;154;1158;599;464;103;50;1638;289;530;5427
2013;080103;Reuterstraße;Neukölln;239;123;1280;458;435;7064;164;614;755;380;68;35;1426;282;584;3233
2013;080104;Rixdorf;Neukölln;316;182;1526;425;509;5594;126;928;681;374;78;38;1288;218;278;3873
2013;080105;Köllnische Heide;Neukölln;300;160;2308;650;1319;13381;540;3488;340;440;210;80;5076;450;290;6715
2013;080206;Britz;Neukölln;183;114;1039;275;484;5166;241;1516;380;387;95;37;1005;95;129;2891
2013;080207;Buckow;Neukölln;86;39;496;136;248;2467;83;768;140;334;39;11;815;104;83;1634
